 Vector Snapshot (JSVecx - Normalized to -127..+127)
Vector Count: 388 

#	X0 (DAC)	Y0 (DAC)	X1 (DAC)	Y1 (DAC)	Color	Length	Raw X0	Raw Y0
161	-26.14	54.12	-25.28	54.12	127	0.86	13104	29236
162	-24.41	54.12	-23.98	54.12	127	0.43	13328	29236
163	-18.38	54.12	-17.95	54.12	127	0.43	14112	29236
164	-10.62	54.12	-10.19	54.12	127	0.43	15120	29236
165	-8.90	54.12	-8.47	54.12	127	0.43	15344	29236
166	5.76	54.12	6.19	54.12	127	0.43	17248	29236
167	13.08	54.12	13.52	54.12	127	0.43	18200	29236
168	14.38	54.12	14.81	54.12	127	0.43	18368	29236
169	20.41	54.12	20.84	54.12	127	0.43	19152	29236
170	28.60	54.12	29.03	54.12	127	0.43	20216	29236
171	29.46	54.12	29.90	54.12	127	0.43	20328	29236
172	35.93	54.12	36.36	54.12	127	0.43	21168	29236
173	37.65	54.12	38.08	54.12	127	0.43	21392	29236
174	-26.14	54.74	-25.71	54.74	127	0.43	13104	29336
175	-25.28	54.74	-24.85	54.74	127	0.43	13216	29336
176	-24.41	54.74	-23.98	54.74	127	0.43	13328	29336
177	-18.38	54.74	-17.95	54.74	127	0.43	14112	29336
178	-10.62	54.74	-10.19	54.74	127	0.43	15120	29336
179	-8.90	54.74	-8.47	54.74	127	0.43	15344	29336
180	5.76	54.74	6.19	54.74	127	0.43	17248	29336
181	13.08	54.74	13.52	54.74	127	0.43	18200	29336
182	14.38	54.74	14.81	54.74	127	0.43	18368	29336
183	20.41	54.74	20.84	54.74	127	0.43	19152	29336
184	28.17	54.74	28.60	54.74	127	0.43	20160	29336
185	29.90	54.74	30.33	54.74	127	0.43	20384	29336
186	36.36	54.74	36.79	54.74	127	0.43	21224	29336
187	-26.14	55.36	-25.71	55.36	127	0.43	13104	29436
188	-24.85	55.36	-23.98	55.36	127	0.86	13272	29436
189	-18.38	55.36	-17.09	55.36	127	1.29	14112	29436
190	-10.62	55.36	-10.19	55.36	127	0.43	15120	29436
191	-9.76	55.36	-9.33	55.36	127	0.43	15232	29436
192	-8.90	55.36	-8.47	55.36	127	0.43	15344	29436
193	5.76	55.36	6.19	55.36	127	0.43	17248	29436
194	13.08	55.36	13.52	55.36	127	0.43	18200	29436
195	14.38	55.36	14.81	55.36	127	0.43	18368	29436
196	20.41	55.36	21.71	55.36	127	1.29	19152	29436
197	28.17	55.36	28.60	55.36	127	0.43	20160	29436
198	29.90	55.36	30.33	55.36	127	0.43	20384	29436
